,报道时间,新增确诊,新增出院,新增死亡,累计确诊,累计出院,累计死亡
0,1月18日,4.0,3.0,0.0,45.0,15.0,2.0
1,1月19日,17.0,4.0,0.0,62.0,19.0,2.0
2,1月20日,136.0,6.0,2.0,198.0,25.0,4.0
3,1月21日,60.0,0.0,2.0,258.0,25.0,6.0
4,1月22日,167.0,3.0,11.0,425.0,28.0,17.0
5,1月24日,70.0,3.0,6.0,495.0,31.0,23.0
6,1月25日,77.0,1.0,15.0,572.0,32.0,38.0
7,1月26日,46.0,8.0,7.0,618.0,40.0,45.0
8,1月27日,80.0,2.0,18.0,698.0,42.0,63.0
9,1月28日,892.0,3.0,22.0,1590.0,45.0,85.0
10,1月29日,315.0,30.0,19.0,1905.0,75.0,104.0
11,1月30日,356.0,7.0,25.0,2261.0,82.0,129.0
12,1月31日,378.0,21.0,30.0,2639.0,103.0,159.0
13,2月10日,1920.0,167.0,73.0,4559.0,270.0,232.0
14,2月11日,1552.0,162.0,67.0,6111.0,432.0,299.0
15,2月12日,1104.0,171.0,72.0,7215.0,603.0,371.0
16,2月13日,13436.0,545.0,216.0,20651.0,1148.0,587.0
17,2月14日,2997.0,94.0,-20.0,23648.0,1242.0,567.0
18,2月15日,1923.0,486.0,107.0,25571.0,1728.0,674.0
19,2月16日,1548.0,413.0,110.0,27119.0,2141.0,784.0
20,2月17日,1690.0,543.0,76.0,28809.0,2684.0,860.0
21,2月18日,1600.0,761.0,72.0,30409.0,3445.0,932.0
22,2月19日,1660.0,676.0,116.0,32069.0,4121.0,1048.0
23,2月1日,576.0,36.0,33.0,32645.0,4157.0,1081.0
24,2月20日,615.0,553.0,88.0,33260.0,4710.0,1169.0
25,2月21日,539.0,767.0,99.0,33799.0,5477.0,1268.0
26,2月22日,315.0,1072.0,90.0,34114.0,6549.0,1358.0
27,2月23日,573.0,887.0,82.0,34687.0,7436.0,1440.0
28,2月24日,153.0,772.0,131.0,34840.0,8208.0,1571.0
29,2月25日,464.0,1402.0,56.0,35304.0,9610.0,1627.0
30,2月26日,370.0,1445.0,42.0,35674.0,11055.0,1669.0
31,2月27日,383.0,1535.0,19.0,36057.0,12590.0,1688.0
32,2月28日,313.0,2498.0,28.0,36370.0,15088.0,1716.0
